City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Teya,RU,2022-05-08 14:08:04,60.3778,92.6267,25.0,84,100,7.07
68,Neiafu,TO,2022-05-08 14:08:04,-18.65,-173.9833,75.88,94,75,0.0
69,Zhigansk,RU,2022-05-08 14:08:05,66.7697,123.3711,33.26,99,100,7.74
70,Cape Town,ZA,2022-05-08 14:05:02,-33.9258,18.4232,69.28,53,74,5.99
71,Georgiyevka,KZ,2022-05-08 14:08:05,43.0369,74.7114,78.84,36,0,11.18
72,Sao Joao Da Barra,BR,2022-05-08 14:08:06,-21.6403,-41.0511,77.09,63,11,10.67
73,Codrington,AU,2022-05-08 14:08:06,-38.2667,141.9667,47.8,82,19,4.09
74,Umm Lajj,SA,2022-05-08 14:08:06,25.0213,37.2685,84.54,48,2,19.93
75,Atuona,PF,2022-05-08 14:04:57,-9.8,-139.0333,77.94,78,38,16.24
76,Llata,PE,2022-05-08 14:08:07,-9.4167,-76.7833,56.07,72,89,2.51
77,Saint George,US,2022-05-08 14:06:16,37.1041,-113.5841,68.25,20,0,3.0
78,Monki,PL,2022-05-08 14:08:08,53.405,22.7979,59.65,60,100,9.82
79,Victoria,HK,2022-05-08 14:08:08,22.2855,114.1577,78.19,80,100,8.01
80,Mackay,AU,2022-05-08 14:08:08,-21.15,149.2,67.68,90,100,16.55
81,High Level,CA,2022-05-08 14:05:23,58.5169,-117.136,32.11,100,100,14.97
82,Loum,CM,2022-05-08 14:07:12,4.7182,9.7351,89.51,59,86,2.82
83,Marzuq,YE,2022-05-08 14:08:09,14.4,46.4667,89.78,22,51,11.05
84,Jurm,AF,2022-05-08 14:08:10,36.8648,70.8342,74.98,29,2,5.84
85,Kishi,NG,2022-05-08 14:08:10,9.0833,3.85,98.69,32,73,5.77
86,Hithadhoo,MV,2022-05-08 14:08:10,-0.6,73.0833,84.43,77,69,19.89
87,Vaini,TO,2022-05-08 14:05:31,-21.2,-175.2,73.56,88,20,6.91
88,Beringovskiy,RU,2022-05-08 14:08:11,63.05,179.3167,26.67,94,84,8.46
89,Georgetown,MY,2022-05-08 14:08:12,5.4112,100.3354,87.73,70,20,8.05
90,Barrow,US,2022-05-08 14:05:33,71.2906,-156.7887,15.82,86,0,9.22
91,Kiunga,PG,2022-05-08 14:08:12,-6.1219,141.2906,77.41,94,100,0.87
92,Abu Samrah,SY,2022-05-08 14:09:13,35.3029,37.1841,74.35,28,33,9.98
93,Rio Rancho,US,2022-05-08 14:09:13,35.2334,-106.6645,70.57,20,0,8.01
94,Touros,BR,2022-05-08 14:09:13,-5.1989,-35.4608,83.73,70,100,13.56
95,Vestmannaeyjar,IS,2022-05-08 14:09:14,63.4427,-20.2734,49.19,93,100,24.16
96,Upernavik,GL,2022-05-08 14:05:27,72.7868,-56.1549,17.73,68,78,5.66
97,Saskylakh,RU,2022-05-08 14:02:10,71.9167,114.0833,14.18,91,95,14.56
98,Mayo,US,2022-05-08 14:09:15,38.8876,-76.5119,49.03,77,100,13.0
99,Paciran,ID,2022-05-08 14:09:15,-6.8767,112.3761,80.96,82,100,0.67
100,Kodiak,US,2022-05-08 14:09:16,57.79,-152.4072,42.31,49,0,8.05
101,Komsomolskiy,UZ,2022-05-08 14:09:16,40.4272,71.7189,88.52,19,0,4.61
102,Champerico,GT,2022-05-08 14:09:16,14.3,-91.9167,82.69,77,98,6.2
103,Griffith,US,2022-05-08 14:09:17,41.5284,-87.4237,58.95,54,0,13.8
104,De Aar,ZA,2022-05-08 14:09:17,-30.6497,24.0123,58.98,45,94,10.18
105,Saint-Philippe,RE,2022-05-08 14:09:18,-21.3585,55.7679,80.19,80,48,7.47
106,Lasa,IT,2022-05-08 14:09:18,46.6166,10.7002,58.69,89,100,0.96
107,Verkhoyansk,RU,2022-05-08 14:09:19,67.5447,133.385,23.88,94,100,3.67
108,Husavik,IS,2022-05-08 14:09:19,66.0449,-17.3389,44.33,78,100,4.07
109,Butaritari,KI,2022-05-08 14:09:19,3.0707,172.7902,81.18,82,10,14.41
110,Tura,IN,2022-05-08 14:09:20,25.5198,90.2201,78.06,68,87,3.78
111,Luderitz,NA,2022-05-08 14:09:20,-26.6481,15.1594,70.07,41,0,16.82
112,Nanortalik,GL,2022-05-08 14:09:21,60.1432,-45.2371,36.52,91,100,3.78
113,Iqaluit,CA,2022-05-08 14:09:21,63.7506,-68.5145,22.69,73,10,3.0
114,Meulaboh,ID,2022-05-08 14:09:22,4.1363,96.1285,79.0,85,100,4.34
115,Srednekolymsk,RU,2022-05-08 14:09:22,67.45,153.6833,25.41,89,99,5.06
116,Katsuura,JP,2022-05-08 14:09:22,35.1333,140.3,59.99,67,100,10.65
117,Athabasca,CA,2022-05-08 14:09:23,54.7169,-113.2854,37.35,70,100,15.05
118,Grindavik,IS,2022-05-08 14:09:23,63.8424,-22.4338,54.07,82,75,19.57
119,Namwala,ZM,2022-05-08 14:09:24,-15.7504,26.4384,85.37,28,53,3.94
120,Kavieng,PG,2022-05-08 14:09:24,-2.5744,150.7967,83.37,74,98,16.71
121,Kangaatsiaq,GL,2022-05-08 14:09:25,68.3065,-53.4641,25.66,83,11,6.76
122,Bluff,NZ,2022-05-08 14:05:28,-46.6,168.3333,49.8,89,78,3.76
123,Guilin,CN,2022-05-08 14:09:25,25.2819,110.2864,72.61,90,100,0.74
124,Dhidhdhoo,MV,2022-05-08 14:09:26,6.8833,73.1,85.21,75,100,16.53
125,Longyearbyen,SJ,2022-05-08 14:09:26,78.2186,15.6401,17.44,57,40,13.8
126,Itarema,BR,2022-05-08 14:09:26,-2.9248,-39.9167,79.79,83,100,11.25
127,Thompson,CA,2022-05-08 14:09:27,55.7435,-97.8558,50.95,86,100,16.46
128,Kupang,ID,2022-05-08 14:09:27,-10.1667,123.5833,80.19,72,12,13.35
129,Mudon,MM,2022-05-08 14:09:28,16.2578,97.7164,78.15,86,100,10.18
130,Dzhebariki-Khaya,RU,2022-05-08 14:09:28,62.2167,135.8,35.94,90,100,5.61
131,Arlit,NE,2022-05-08 14:09:29,18.7369,7.3853,106.83,9,100,5.32
132,Torbay,CA,2022-05-08 14:09:29,47.6666,-52.7314,45.88,43,0,7.92
133,Cartagena,CO,2022-05-08 14:09:30,10.3997,-75.5144,85.62,74,20,2.3
134,Port Hedland,AU,2022-05-08 14:09:30,-20.3167,118.5667,73.45,64,82,5.75
135,Lima,PE,2022-05-08 14:09:29,-12.0432,-77.0282,71.91,73,100,9.22
136,Sitka,US,2022-05-08 14:09:31,57.0531,-135.33,39.09,81,75,3.44
137,Isangel,VU,2022-05-08 14:09:31,-19.55,169.2667,74.59,66,1,13.29
138,Berbera,SO,2022-05-08 14:10:31,10.4396,45.0143,87.76,62,28,5.77
139,Warrington,GB,2022-05-08 14:10:32,53.3925,-2.5802,66.16,74,75,11.5
140,Saint-Louis,SN,2022-05-08 14:10:32,16.3333,-15.0,109.2,8,1,10.58
141,Saint-Augustin,CA,2022-05-08 14:10:33,51.226,-58.6502,40.44,50,36,7.96
142,Maicao,CO,2022-05-08 14:10:33,11.3832,-72.2432,84.34,71,51,11.18
143,Ugoofaaru,MV,2022-05-08 14:10:34,5.6667,73.0,85.1,77,99,14.83
144,Minot,US,2022-05-08 14:05:39,48.2325,-101.2963,53.82,66,0,10.36
145,Kapiri Mposhi,ZM,2022-05-08 14:10:34,-13.9652,28.6809,81.07,34,40,3.83
146,Mizan Teferi,ET,2022-05-08 14:10:34,6.9833,35.5833,70.61,92,87,1.83
147,Klaksvik,FO,2022-05-08 14:10:35,62.2266,-6.589,49.12,98,100,20.27
148,Haines Junction,CA,2022-05-08 14:10:35,60.7522,-137.5108,25.41,97,63,2.77
149,Natal,BR,2022-05-08 14:10:36,-5.795,-35.2094,84.85,74,75,11.5
150,Lang Son,VN,2022-05-08 14:10:36,21.8333,106.7333,71.56,95,100,3.76
151,Roald,NO,2022-05-08 14:10:37,62.5833,6.1333,52.32,66,0,6.91
152,Bonthe,SL,2022-05-08 14:10:37,7.5264,-12.505,79.03,81,100,5.1
153,Atbasar,KZ,2022-05-08 14:10:37,51.8,68.3333,59.41,24,1,12.1
154,East London,ZA,2022-05-08 14:05:34,-33.0153,27.9116,65.79,71,72,17.31
155,Berlevag,NO,2022-05-08 14:10:38,70.8578,29.0864,30.0,89,100,10.45
156,Fez,MA,2022-05-08 14:10:38,34.0372,-4.9998,88.05,15,0,9.22
157,Carnarvon,AU,2022-05-08 14:10:39,-24.8667,113.6333,71.67,83,40,8.05
158,Monrovia,LR,2022-05-08 14:10:39,6.3005,-10.7969,79.14,81,100,6.69
159,Noumea,NC,2022-05-08 14:06:42,-22.2763,166.4572,75.99,99,99,11.32
160,Mana,GF,2022-05-08 14:10:40,5.6592,-53.7767,82.85,73,78,11.3
161,Nanjing,CN,2022-05-08 14:10:40,32.0617,118.7778,62.44,59,43,14.03
162,Tocopilla,CL,2022-05-08 14:10:41,-22.092,-70.1979,66.29,65,0,5.46
163,Puqi,CN,2022-05-08 14:10:41,29.7167,113.8833,68.86,85,74,2.19
164,Mahebourg,MU,2022-05-08 14:10:42,-20.4081,57.7,76.24,81,18,11.01
165,Saint-Francois,FR,2022-05-08 14:10:42,46.4154,3.9054,73.67,33,0,11.5
166,Uyuni,BO,2022-05-08 14:10:43,-20.4597,-66.825,47.21,40,0,15.66
167,Bambous Virieux,MU,2022-05-08 14:10:43,-20.3428,57.7575,76.21,82,25,9.69
168,Nunoa,PE,2022-05-08 14:10:43,-14.48,-70.6411,48.07,45,75,4.43
169,Matagami,CA,2022-05-08 14:10:44,49.7502,-77.6328,51.3,42,25,6.62
170,San Patricio,US,2022-05-08 14:10:44,28.017,-97.5169,82.29,71,15,16.46
171,Kita,ML,2022-05-08 14:10:45,13.0349,-9.4895,106.2,18,32,1.34
172,Mao,ES,2022-05-08 14:10:45,39.8885,4.2658,70.36,52,20,12.66
173,Ostrovnoy,RU,2022-05-08 14:10:46,68.0531,39.5131,34.56,75,55,17.31
174,Vierzon,FR,2022-05-08 14:10:46,47.2101,2.0625,73.78,49,5,10.63
175,Nabire,ID,2022-05-08 14:10:46,-3.3667,135.4833,78.78,89,72,2.8
176,Visby,SE,2022-05-08 14:10:47,57.6409,18.296,54.05,49,0,9.22
177,Kaeo,NZ,2022-05-08 14:10:47,-35.1,173.7833,58.32,94,100,4.85
178,Springbok,ZA,2022-05-08 14:10:48,-29.6643,17.8865,65.59,24,1,8.32
179,Martapura,ID,2022-05-08 14:10:48,-3.4167,114.85,78.89,94,40,2.3
180,Rawson,AR,2022-05-08 14:10:49,-43.3002,-65.1023,66.31,39,100,33.96
181,Houston,US,2022-05-08 14:09:31,29.7633,-95.3633,83.98,78,40,16.11
182,Souillac,MU,2022-05-08 14:10:49,-20.5167,57.5167,76.42,83,43,9.42
183,Maneadero,MX,2022-05-08 14:10:50,31.7167,-116.5667,59.11,78,37,4.0
184,Singaraja,ID,2022-05-08 14:10:50,-8.112,115.0882,81.93,83,95,3.98
185,Marienburg,PL,2022-05-08 14:10:50,54.0359,19.0266,61.88,68,16,12.8
186,Morehead,US,2022-05-08 14:11:51,37.2711,-87.1764,60.78,85,0,0.0
187,Raudeberg,NO,2022-05-08 14:11:51,61.9875,5.1352,45.27,65,50,13.8
188,Oregon,US,2022-05-08 14:11:52,44.0001,-120.5014,27.61,61,15,8.66
189,Zabol,AF,2022-05-08 14:11:52,32.25,67.25,81.3,14,0,8.21
190,Khasan,RU,2022-05-08 14:11:53,42.4308,130.6434,45.36,69,10,4.92
191,Norman Wells,CA,2022-05-08 14:11:53,65.282,-126.8329,34.2,88,100,2.51
192,Ouesso,CG,2022-05-08 14:11:54,1.6136,16.0517,84.7,63,100,1.7
193,Dikson,RU,2022-05-08 14:11:54,73.5069,80.5464,20.1,86,97,26.46
194,Talnakh,RU,2022-05-08 14:11:55,69.4865,88.3972,9.79,97,7,3.11
195,Morinville,CA,2022-05-08 14:11:55,53.8001,-113.652,39.47,80,100,16.55
196,Hasaki,JP,2022-05-08 14:11:55,35.7333,140.8333,61.2,49,100,12.15
197,Ilulissat,GL,2022-05-08 14:11:56,69.2167,-51.1,28.42,64,0,2.3
198,Asau,RO,2022-05-08 14:11:56,46.4333,26.4,67.28,59,98,4.38
199,Maragogi,BR,2022-05-08 14:11:57,-9.0122,-35.2225,82.56,71,46,9.62
200,Yulara,AU,2022-05-08 14:11:57,-25.2406,130.9889,55.24,33,100,8.05
201,Aguas Formosas,BR,2022-05-08 14:11:57,-17.0822,-40.9358,77.86,60,100,6.67
202,Chokurdakh,RU,2022-05-08 14:11:58,70.6333,147.9167,3.13,97,97,6.53
203,Dangriga,BZ,2022-05-08 14:11:58,16.9692,-88.2321,83.07,81,75,1.23
204,Kyren,RU,2022-05-08 14:11:59,51.6828,102.1408,38.39,95,100,4.12
205,Omsukchan,RU,2022-05-08 14:11:59,62.5333,155.8,11.88,97,22,4.14
206,Camacha,PT,2022-05-08 14:05:28,33.0833,-16.3333,63.82,55,20,13.8
207,Laramie,US,2022-05-08 14:12:00,41.3114,-105.5911,44.76,72,75,6.91
208,Emirdag,TR,2022-05-08 14:12:00,39.0197,31.15,61.23,42,92,7.05
209,Avarua,CK,2022-05-08 14:05:35,-21.2078,-159.775,80.26,81,100,7.63
