City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Weligama,LK,82.18,Clouds,5.9667,80.4167,Weligama Bay Resort
277,Boquira,BR,86.4,Clouds,-12.8231,-42.7306,Cristal Palace Hotel
278,Banjar,ID,78.73,Rain,-8.19,114.9675,The Hamsa Resort
280,Bonthe,SL,80.08,Clouds,7.5264,-12.505,Bonthe Holiday Village
281,Katobu,ID,76.55,Clouds,-4.9408,122.5276,La Ode Husein
282,Kimbe,PG,76.82,Clouds,-5.5502,150.1429,Kimbe Bay Hotel
283,Basoko,CD,75.63,Clouds,1.2391,23.616,Jackyna Hotel
284,Lorengau,PG,83.23,Clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
287,Puerto Morazan,NI,86.77,Clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
288,Darbhanga,IN,87.53,Clouds,26.1667,85.9,Arvind and Agarwal Hotel
290,Sarankhola,BD,82.02,Clear,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
292,Kirakira,SB,79.77,Clouds,-10.4544,161.9205,SanBiz Lodge
293,Amli,IN,85.69,Clouds,20.2833,73.0167,Hotel Soubhagya Inn
294,Touros,BR,83.59,Clouds,-5.1989,-35.4608,INN NEW HORIZON
295,Saint-Georges,GD,85.68,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
296,Fare,PF,81.3,Clear,-16.7,-151.0167,Maitai Lapita Village Huahine
298,Richardson,US,87.71,Clouds,32.9482,-96.7297,Courtyard by Marriott Dallas Richardson at Spring Valley
301,Puerto Carreno,CO,84.18,Clouds,6.189,-67.4859,Casa Hotel Victoria
303,Hobyo,SO,83.61,Clouds,5.3505,48.5268,Iftin hotel hobyo
304,Porto Novo,BJ,87.62,Clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
307,Asfi,MA,75.76,Clouds,32.2994,-9.2372,Hôtel Abda
309,Iztapa,GT,89.65,Clouds,13.9333,-90.7075,Villas de Puerto Viejo
313,Santa Vitoria,BR,88.9,Clear,-18.8386,-50.1214,Center Hotel
315,Siavonga,ZM,77.56,Clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
319,Roebourne,AU,77.61,Rain,-20.7833,117.1333,Latitude20 Roebourne Village
322,Luganville,VU,76.84,Clouds,-15.5333,167.1667,The Espiritu Hotel
324,Mayumba,GA,78.91,Clouds,-3.432,10.6554,LIKWALE LODGE
325,Carutapera,BR,82.02,Clouds,-1.195,-46.02,Lidera
327,Takoradi,GH,83.48,Clouds,4.8845,-1.7554,Raybow International Hotel
331,Corn Island,NI,82.24,Clouds,12.1694,-83.0418,Big Fish Guest House
332,Boa Vista,BR,78.78,Clouds,2.8197,-60.6733,Aipana Plaza Hotel
333,Komsomolskiy,UZ,79.52,Clear,40.4272,71.7189,Ikathouse
344,Bahia Honda,CU,88.03,Clouds,22.9036,-83.1592,Casa Gualberto - Deysi
345,Rio Grande,BR,75.31,Clear,-32.035,-52.0986,Hotel Atlântico Rio Grande
347,Viedma,AR,76.12,Clear,-40.8135,-62.9967,Hotel Cristal
356,Juwana,ID,77.56,Clouds,-6.715,111.1514,Graha Dewata Hotel
357,Lamar,US,86.65,Clouds,33.6668,-95.5836,Kings Inn Paris TX
361,Bandarbeyla,SO,83.28,Clear,9.4942,50.8122,JABIR HOTEL
363,Cozumel,MX,87.94,Clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
367,Faanui,PF,80.65,Rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
371,Kilindoni,TZ,81.34,Clouds,-7.9139,39.6668,Bustani B&B
373,Sambava,MG,77.05,Rain,-14.2667,50.1667,Melrose
379,Taft,IR,75.15,Clouds,31.7471,54.2088,عمارت ساعتی تفت
383,Sur,OM,89.04,Clear,22.5667,59.5289,Sur Plaza Hotel
385,Gizo,SB,82.0,Clouds,-8.103,156.8419,Imagination Island
386,Baiao,BR,83.34,Clouds,-2.7906,-49.6717,Hotel Eurosono
388,Catanduva,BR,85.3,Clouds,-21.1378,-48.9728,Colonial Hotel
390,Labuhan,ID,80.65,Rain,-6.8844,112.2051,DoubleFAG
391,Bontang,ID,79.11,Clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
394,Kalmunai,LK,84.06,Clouds,7.4167,81.8167,VS Villa
396,Nuevo Laredo,MX,89.87,Clear,27.4763,-99.5164,City Express Nuevo Laredo
398,Wanning,CN,75.94,Clouds,18.8003,110.3967,Paradise Hotel
401,Praia,CV,79.34,Clouds,14.9215,-23.5087,LT Aparthotel
405,Kankon,IN,83.08,Clouds,15.0167,74.0167,Palolem Beach Resort
414,Canutama,BR,82.49,Clouds,-6.5339,-64.3831,Hotel Jhennifer
416,Labuan,MY,80.96,Clouds,5.2767,115.2417,Tiara Labuan Hotel
417,Jizan,SA,86.94,Clear,17.3333,42.6667,شهدان. ابوالحجر
419,Bende,NG,80.38,Rain,5.5572,7.6368,Bende Local Government Corppers Lodge
421,Parakou,BJ,83.53,Rain,9.3372,2.6303,Benin Metropole Hotel
423,Kloulklubed,PW,75.7,Clouds,7.0419,134.2556,Storyboard Beach Resort
427,Benicarlo,ES,75.25,Clouds,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
430,Vila Velha,BR,78.75,Clouds,-20.3297,-40.2925,Hotel Vitória Palace
431,Guarapari,BR,77.16,Clouds,-20.6667,-40.4975,Hotel Porto do Sol
432,Mecca,SA,86.81,Clear,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
433,Omboue,GA,80.04,Rain,-1.5746,9.2618,Hotel Olako
441,Namatanai,PG,80.28,Clouds,-3.6667,152.4333,Seagulls Inn Namatani
442,Cayenne,GF,86.04,Clouds,4.9333,-52.3333,Hôtel Le Dronmi
443,Tabou,CI,77.77,Rain,4.423,-7.3528,hotêl doufoulougou
446,Cestas,FR,76.93,Clear,44.7435,-0.6791,Hôtel Kyriad Direct Cestas
448,Tura,IN,75.97,Clouds,25.5198,90.2201,Hotel RIKMAN Continental
449,Carballo,ES,81.82,Clouds,43.213,-8.691,Pazo do Souto
450,Rio Tinto,PT,84.36,Clear,41.1826,-8.5581,Axis Porto Business & SPA Hotel
452,Sola,VU,80.01,Clouds,-13.8833,167.55,Leumerus Bungalows
455,Katiola,CI,88.43,Clouds,8.1333,-5.1,Auberge Residence Yebin
462,Dingle,PH,79.41,Clouds,10.9995,122.6711,SEGAYA PROPERTY
463,Mana,GF,82.8,Clouds,5.6592,-53.7767,LE SAMANA
464,Anito,PH,79.18,Clouds,12.4497,125.2886,El Felix Cottages
468,Honiara,SB,77.38,Clouds,-9.4333,159.95,Heritage Park Hotel
470,San Andres,CO,87.82,Clouds,12.5847,-81.7006,Hotel Arena Blanca
475,Amahai,ID,80.19,Clouds,-3.3333,128.9167,HOTEL ISABELA
481,Timbiqui,CO,86.09,Clouds,2.7717,-77.6654,Hotel Sharey
484,General Pico,AR,77.41,Clouds,-35.6566,-63.7568,Euskadi Hotel
485,Acoua,YT,82.31,Clouds,-12.7239,45.0582,Gîte de Mliha
489,Mahibadhoo,MV,84.54,Clouds,3.7833,72.9667,Omadhoo Inn
490,Paragominas,BR,81.05,Clouds,-2.9667,-47.4833,INOVA
493,Inirida,CO,77.59,Rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
495,Samarai,PG,81.77,Clouds,-10.6167,150.6667,Nuli Sapi
497,Dakar,SN,85.08,Clouds,14.6937,-17.4441,Novotel Dakar
501,Yenagoa,NG,81.39,Rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
502,Kavaratti,IN,85.12,Clouds,10.5669,72.642,Hotels in Lakshadweep Islands
503,Mawlamyine,MM,78.87,Rain,16.4914,97.6256,Sandalwood Hotel
509,Umm Lajj,SA,80.87,Clouds,25.0213,37.2685,Moon light Furnished Units
515,Lazaro Cardenas,MX,84.13,Clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
517,Villamontes,BO,77.54,Clouds,-21.25,-63.5,Hotel Raldes
524,Pak Phanang,TH,80.82,Rain,8.3511,100.202,Green Park Inn Hotel
525,Nishihara,JP,76.68,Mist,26.1842,127.7558,Minshuku Agaihama
526,Muisne,EC,81.7,Clouds,0.6,-80.0333,Quinta Samay
528,Portmore,JM,86.05,Clouds,17.9702,-76.8672,Grand Hotel Excelsior Port Royal
537,Kiunga,PG,76.37,Rain,-6.1219,141.2906,Airport Lodge Kiunga
548,Lata,PT,77.29,Clouds,40.1629,-8.3327,Casa Maquia
553,Butterworth,MY,84.24,Rain,5.3991,100.3638,Cititel Penang
557,Porto Velho,BR,87.85,Clouds,-8.7619,-63.9039,Ecos Hotel Conforto
568,Uige,AO,75.22,Rain,-7.6087,15.0613,Hotel Catraio
569,Santa Cruz,BO,85.46,Clouds,-17.8,-63.1667,Aviador Hotel Boutique
574,Nanakuli,US,75.15,Clouds,21.3906,-158.1547,Camp Pālehua
579,Catuday,PH,82.13,Clouds,16.2923,119.8062,Benjie's Kubo & Cottages
581,Tual,ID,84.76,Clouds,-5.6667,132.75,Grand Vilia Hotel
584,Ca Mau,VN,81.61,Clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
