City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,New Norfolk,AU,-42.7826,147.0587,42.71,76,23,2.39,Clouds
83,Norman Wells,CA,65.282,-126.8329,35.64,69,75,6.91,Clouds
84,Saint George,US,37.1041,-113.5841,77.43,12,0,6.91,Clear
85,Adrar,MR,20.5022,-10.0711,103.6,8,69,3.74,Clouds
86,Srandakan,ID,-7.9386,110.2506,78.1,88,100,2.51,Clouds
87,Gambela,ET,8.25,34.5833,79.09,73,71,3.33,Clouds
88,Port Lincoln,AU,-34.7333,135.8667,60.15,69,100,10.85,Clouds
89,Georgetown,MY,5.4112,100.3354,82.33,93,20,5.01,Rain
90,Copiapo,CL,-27.3667,-70.3333,65.89,52,68,5.99,Clouds
91,Karasjok,NO,69.4719,25.5112,33.13,74,75,18.75,Clouds
92,Poopo,BO,-18.3667,-66.9667,56.17,27,7,23.78,Clear
93,Ponta Do Sol,PT,32.6667,-17.1,74.71,69,15,4.92,Clouds
94,Poum,NC,-20.2333,164.0167,76.06,64,89,12.71,Clouds
95,Kruisfontein,ZA,-34.0033,24.7314,58.89,68,41,1.68,Clouds
96,Provideniya,RU,64.3833,-173.3,31.01,98,100,5.57,Snow
97,Novosergiyevka,RU,52.0934,53.6528,52.83,47,100,7.9,Clouds
98,Avarua,CK,-21.2078,-159.775,80.65,89,40,6.91,Clouds
99,Paka,MY,4.6374,103.4368,80.53,94,86,1.14,Clouds
100,Torbay,CA,47.6666,-52.7314,50.88,52,20,11.5,Clouds
101,Batagay-Alyta,RU,67.8006,130.4114,22.53,96,100,3.29,Clouds
102,Griffith,US,41.5284,-87.4237,66.04,51,0,14.97,Clear
103,Rawson,AR,-43.3002,-65.1023,65.12,29,100,30.31,Clouds
104,Tiksi,RU,71.6872,128.8694,0.19,99,51,4.21,Clouds
105,Fairbanks,US,64.8378,-147.7164,38.08,77,75,6.91,Clouds
106,Karasuk,RU,53.7377,78.0403,46.96,71,24,6.33,Clouds
107,Kolpashevo,RU,58.3131,82.9089,33.64,51,3,2.86,Clear
